fips,county,year,avg_eligibles,avg_enrolled,ssa
13189,McDuffie,2022,5001.416666666667,3069.5,11702
13191,McIntosh,2022,3396.5,1834.75,11703
13193,Macon,2022,2398.8333333333335,1557.3333333333333,11710
13195,Madison,2022,6778.5,3508.5833333333335,11720
13197,Marion,2022,1685.8333333333333,950.5,11730
13199,Meriwether,2022,5501.166666666667,3388.3333333333335,11740
13201,Miller,2022,1325.0833333333333,663.75,11741
13205,Mitchell,2022,4608.25,2703.9166666666665,11750
13207,Monroe,2022,6459.333333333333,3301.5,11760
13209,Montgomery,2022,1783.4166666666667,987.75,11770
13211,Morgan,2022,4901.583333333333,2525.9166666666665,11771
13213,Murray,2022,7727.25,3245.4166666666665,11772
13215,Muscogee,2022,36576.333333333336,17608.75,11780
13217,Newton,2022,19877.75,11732.666666666666,11790
13219,Oconee,2022,7894.083333333333,3071.3333333333335,11800
13221,Oglethorpe,2022,3486.5,1800.8333333333333,11801
13223,Paulding,2022,24155.75,12269.5,11810
13225,Peach,2022,5697.916666666667,2719.25,11811
13227,Pickens,2022,9919.666666666666,4386.833333333333,11812
13229,Pierce,2022,4249.916666666667,1965.5833333333333,11820
13231,Pike,2022,3747.1666666666665,1953.4166666666667,11821
13233,Polk,2022,8938.75,4797.833333333333,11830
13235,Pulaski,2022,2136.8333333333335,1000,11831
13237,Putnam,2022,6253.833333333333,3093.0833333333335,11832
13239,Quitman,2022,741.6666666666666,437.8333333333333,11833
13241,Rabun,2022,5461.083333333333,2238.0833333333335,11834
13243,Randolph,2022,1655.0833333333333,963.4166666666666,11835
13245,Richmond,2022,38329.333333333336,20676.416666666668,11840
13247,Rockdale,2022,16571.166666666668,9786.583333333334,11841
13249,Schley,2022,835.8333333333334,527.6666666666666,11842
13251,Screven,2022,3491.25,2062.25,11850
13253,Seminole,2022,2334.1666666666665,1099,11851
13255,Spalding,2022,15692,8837.25,11860
13257,Stephens,2022,6932.166666666667,3417.5833333333335,11861
13259,Stewart,2022,1088.4166666666667,713.9166666666666,11862
13261,Sumter,2022,6279,3699.4166666666665,11870
13263,Talbot,2022,1702.25,1006,11880
13265,Taliaferro,2022,471.3333333333333,305,11881
13267,Tattnall,2022,4096.083333333333,2206.25,11882
13269,Taylor,2022,1861,1087.75,11883
13271,Telfair,2022,2421.25,1333.1666666666667,11884
13273,Terrell,2022,2287.9166666666665,1357.75,11885
13275,Thomas,2022,10575.916666666666,5433.75,11890
13277,Tift,2022,7865.25,4185.333333333333,11900
13279,Toombs,2022,5741.75,3143.9166666666665,11901
13281,Towns,2022,5287.166666666667,2344,11902
13283,Treutlen,2022,1353.1666666666667,829.6666666666666,11903
13285,Troup,2022,13625.083333333334,7257.5,11910
13287,Turner,2022,1957.75,1258.8333333333333,11911
13289,Twiggs,2022,2417.5,1400.1666666666667,11912
13291,Union,2022,9797.583333333334,4188.666666666667,11913
13293,Upson,2022,6599.166666666667,3876.4166666666665,11920
13295,Walker,2022,15408.5,6963.416666666667,11921
13297,Walton,2022,18777.916666666668,9978.833333333334,11930
13299,Ware,2022,8092.416666666667,4146.5,11940
13301,Warren,2022,1514.6666666666667,930,11941
13303,Washington,2022,4684.416666666667,2650.0833333333335,11950
13305,Wayne,2022,6149.833333333333,3133.75,11960
13307,Webster,2022,584.25,348.9166666666667,11961
13309,Wheeler,2022,1180.75,656.0833333333334,11962
13311,White,2022,7666.833333333333,3893.8333333333335,11963
13313,Whitfield,2022,17854.166666666668,5907.583333333333,11970
13315,Wilcox,2022,1720.6666666666667,919.25,11971
13317,Wilkes,2022,2732.1666666666665,1476,11972
13319,Wilkinson,2022,2387.5833333333335,1279,11973
13321,Worth,2022,4264,2441.75,11980
