contractid,planid,fips,plan_type,partd,avg_enrollment,avg_eligibles,avg_enrolled,premium,premium_partc,premium_partd,rebate_partc,ma_rate,bid,avg_ffscost,partc_score
H0111,1,13071,Local PPO,Yes,19.083333333333332,9099.416666666666,4710.25,0,0,0,119.53,1085.6899999999998,820.8881922675026,13029.89086268508,3
H0111,1,13073,Local PPO,Yes,199.58333333333337,26337.666666666668,10476.166666666666,0,0,0,119.53,1002.04,820.8881922675026,8993.794076599996,3
H0111,1,13075,Local PPO,Yes,15.25,3620.9166666666665,1854.75,0,0,0,119.53,1014.33,820.8881922675026,10697.113425274416,3
H0111,1,13077,Local PPO,Yes,69.33333333333333,26135.666666666668,12992.75,0,0,0,119.53,1064.16,820.8881922675026,9712.69247028241,3
H0111,1,13079,Local PPO,Yes,13.22222222222222,2734.5,1506.9166666666667,0,0,0,119.53,1030.75,820.8881922675026,11092.232660956066,3
H0111,1,13081,Local PPO,Yes,12.875,4499.25,2586.25,0,0,0,119.53,985.46,820.8881922675026,9955.446359035206,3
H0111,1,13087,Local PPO,Yes,17.833333333333332,5836.666666666667,2999.5833333333335,0,0,0,119.53,1041.22,820.8881922675026,10353.40167107302,3
H0111,1,13089,Local PPO,Yes,380.4166666666667,109529.33333333331,61715.583333333336,0,0,0,119.53,1057.11,820.8881922675026,10146.817705363232,3
H0111,1,13091,Local PPO,Yes,14.833333333333334,4250,2082.3333333333335,0,0,0,119.53,1044.06,820.8881922675026,12057.394982417049,3
H0111,1,13097,Local PPO,Yes,147.25,21765.166666666668,12222.916666666666,0,0,0,119.53,1014.05,820.8881922675026,10929.762769630666,3
H0111,1,13103,Local PPO,Yes,123.25,10336.166666666666,5139.5,0,0,0,119.53,1030.88,820.8881922675026,9627.0581203661,3
H0111,1,13107,Local PPO,Yes,24.833333333333332,4983,2863.4166666666665,0,0,0,119.53,1027.27,820.8881922675026,10116.961770837856,3
H0111,1,13111,Local PPO,Yes,13.7,8602.416666666666,3542.0833333333335,0,0,0,119.53,1000.15,820.8881922675026,9660.298073641534,3
H0111,1,13113,Local PPO,Yes,42.666666666666664,25939.666666666668,11327.166666666666,0,0,0,119.53,1032.26,820.8881922675026,9642.564032171043,3
H0111,1,13115,Local PPO,Yes,22.333333333333332,21007.333333333332,10399,0,0,0,119.53,985.93,820.8881922675026,11728.875814257426,3
H0111,1,13117,Local PPO,Yes,62.583333333333336,33179.583333333336,14997.083333333334,0,0,0,119.53,1033.6,820.8881922675026,11026.535355041397,3
H0111,1,13119,Local PPO,Yes,14.666666666666666,5617.75,2979.25,0,0,0,119.53,1039.13,820.8881922675026,9754.147962182966,3
H0111,1,13121,Local PPO,Yes,313.9166666666667,144055.08333333334,73049.58333333333,0,0,0,119.53,1058.12,820.8881922675026,10735.589581304088,3
H0111,1,13123,Local PPO,Yes,16.636363636363637,9122.75,3699,0,0,0,119.53,1023.97,820.8881922675026,10275.342327635277,3
H0111,1,13127,Local PPO,Yes,188.25,20183.583333333332,8342.5,0,0,0,119.53,1043.21,820.8881922675026,10208.07735453613,3
H0111,1,13129,Local PPO,Yes,13,11100.333333333334,5043.25,0,0,0,119.53,1026.66,820.8881922675026,10391.052879091978,3
H0111,1,13131,Local PPO,Yes,20.5,5426.833333333333,2872.3333333333335,0,0,0,119.53,1041.49,820.8881922675026,9566.04987716851,3
H0111,1,13133,Local PPO,Yes,18.166666666666668,6612,2797,0,0,0,119.53,1020.15,820.8881922675026,9511.887621218972,3
H0111,1,13135,Local PPO,Yes,377.5,117847.5,62877.833333333336,0,0,0,119.53,1055.84,820.8881922675026,9768.469244032996,3
H0111,1,13137,Local PPO,Yes,12.125,10228.916666666666,5141.666666666667,0,0,0,119.53,1043.29,820.8881922675026,9458.107935500926,3
H0111,1,13139,Local PPO,Yes,26.583333333333332,38632,17374.166666666668,0,0,0,119.53,1024.1699999999998,820.8881922675026,10513.99279798776,3
H0111,1,13143,Local PPO,Yes,26.75,6344.5,3529,0,0,0,119.53,1055.05,820.8881922675026,11380.902257191648,3
H0111,1,13145,Local PPO,Yes,42.333333333333336,7418.333333333333,3344.8333333333335,0,0,0,119.53,1025.13,820.8881922675026,9052.06013882442,3
H0111,1,13147,Local PPO,Yes,16.5,6966.333333333333,3372.8333333333335,0,0,0,119.53,1005.63,820.8881922675026,10801.63258510331,3
H0111,1,13151,Local PPO,Yes,111.33333333333331,36855.583333333336,20716.166666666668,0,0,0,119.53,1082.85,820.8881922675026,9501.837039820666,3
H0111,1,13153,Local PPO,Yes,76.66666666666667,27553.25,10095.666666666666,0,0,0,119.53,1019.93,820.8881922675026,10172.260317882552,3
H0111,1,13155,Local PPO,Yes,12,2093.25,1061.75,0,0,0,119.53,1036.49,820.8881922675026,9997.02716462932,3
H0111,1,13157,Local PPO,Yes,21.833333333333332,14343.333333333334,7395.083333333333,0,0,0,119.53,1011.33,820.8881922675026,10204.912439971986,3
H0111,1,13159,Local PPO,Yes,11.77777777777778,3160.4166666666665,1769.25,0,0,0,119.53,1028.02,820.8881922675026,9887.547552942053,3
H0111,1,13161,Local PPO,Yes,11,2886.0833333333335,1390.0833333333333,0,0,0,119.53,977.77,820.8881922675026,9187.458432455058,3
H0111,1,13163,Local PPO,Yes,22.583333333333332,3939.8333333333335,2275.8333333333335,0,0,0,119.53,1023.91,820.8881922675026,10705.004331995216,3
H0111,1,13165,Local PPO,Yes,16.916666666666668,1797.6666666666667,1103.3333333333333,0,0,0,119.53,1031.94,820.8881922675026,11536.508265158978,3
H0111,1,13169,Local PPO,Yes,15.75,5971.25,3216.9166666666665,0,0,0,119.53,994.15,820.8881922675026,10140.156898597252,3
H0111,1,13171,Local PPO,Yes,14.5,4200.75,2390.5,0,0,0,119.53,1032.38,820.8881922675026,9916.928544434157,3
H0111,1,13175,Local PPO,Yes,11.166666666666666,10993.75,5549.583333333333,0,0,0,119.53,1018.95,820.8881922675026,9958.235755670712,3
H0111,1,13179,Local PPO,Yes,75.58333333333333,8375.666666666666,3736.25,0,0,0,119.53,1027.81,820.8881922675026,7727.435238888156,3
H0111,1,13181,Local PPO,Yes,15.916666666666666,2266.25,1186.4166666666667,0,0,0,119.53,988.67,820.8881922675026,9439.91531582267,3
H0111,1,13185,Local PPO,Yes,269.1666666666667,19713.5,7815.25,0,0,0,119.53,1015.75,820.8881922675026,9538.611872474869,3
H0111,1,13187,Local PPO,Yes,12,7142,3191.4166666666665,0,0,0,119.53,1002.49,820.8881922675026,9976.373410548002,3
H0111,1,13189,Local PPO,Yes,47.583333333333336,5001.416666666667,3069.5,0,0,0,119.53,1018.14,820.8881922675026,10242.251027266962,3
H0111,1,13191,Local PPO,Yes,62.583333333333336,3396.5,1834.75,0,0,0,119.53,1040.37,820.8881922675026,11040.926838398897,3
H0111,1,13195,Local PPO,Yes,17.583333333333332,6778.5,3508.5833333333335,0,0,0,119.53,1023.31,820.8881922675026,9401.090807132889,3
H0111,1,13197,Local PPO,Yes,11,1685.8333333333333,950.5,0,0,0,119.53,885.41,820.8881922675026,9254.68676673568,3
H0111,1,13199,Local PPO,Yes,29.25,5501.166666666667,3388.3333333333335,0,0,0,119.53,1043.59,820.8881922675026,10237.172011268776,3
H0111,1,13205,Local PPO,Yes,25.583333333333332,4608.25,2703.9166666666665,0,0,0,119.53,999.23,820.8881922675026,10520.433756517796,3
H0111,1,13207,Local PPO,Yes,37.5,6459.333333333333,3301.5,0,0,0,119.53,1057.66,820.8881922675026,8651.319100897024,3
H0111,1,13213,Local PPO,Yes,13.25,7727.25,3245.4166666666665,0,0,0,119.53,1012.66,820.8881922675026,10944.693636737487,3
H0111,1,13215,Local PPO,Yes,222.5,36576.333333333336,17608.75,0,0,0,119.53,995.16,820.8881922675026,9772.862135279924,3
H0111,1,13217,Local PPO,Yes,82.58333333333333,19877.75,11732.666666666666,0,0,0,119.53,1024.71,820.8881922675026,10731.070827765456,3
