provider_number,state,price,mcare_discharges,year,hrrp_payment,beds,tot_mcare_payment,uncomp_care,state_name,expanded,date_adopted
010073,AL,3799.851557129171,682,2010,NA,46,3182011,1740326,Alabama,FALSE,NA
010073,AL,5100.03227591078,572,2011,NA,46,2681723,NA,Alabama,FALSE,NA
010073,AL,3957.4653016256057,729,2012,NA,46,3744521,1522684,Alabama,FALSE,NA
010073,AL,2832.400861027794,721,2013,8077,46,3913256,2157492,Alabama,FALSE,NA
010073,AL,1856.9961134201571,707,2014,12494,46,3720222,2451057,Alabama,FALSE,NA
010073,AL,1948.7227562275268,667,2015,23400,46,3894091,1733455,Alabama,FALSE,NA
010078,AL,3874.418338725598,5411,2010,NA,243,47556179,60452642,Alabama,FALSE,NA
010078,AL,3234.2163789463807,4998,2011,NA,217,43812235,24678629,Alabama,FALSE,NA
010078,AL,3430.522287422865,5483,2012,NA,217,47478935,51983506,Alabama,FALSE,NA
010078,AL,3453.147949028305,4704,2013,NA,217,42163215,43056874,Alabama,FALSE,NA
010078,AL,1832.5617848517452,4934,2014,NA,217,44774307,27549621,Alabama,FALSE,NA
010078,AL,3837.5792423440116,5025,2015,218502,217,44346117,53959191,Alabama,FALSE,NA
010079,AL,5919.644170885524,1662,2010,NA,101,13316887,NA,Alabama,FALSE,NA
010079,AL,2091.7372013203412,1668,2011,NA,101,12358508,NA,Alabama,FALSE,NA
010079,AL,1964.7981914541172,1609,2012,NA,101,11723223,NA,Alabama,FALSE,NA
010079,AL,1256.7791118362768,1821,2014,1021,101,13509629,NA,Alabama,FALSE,NA
010079,AL,1658.6854450768653,1497.6087751371117,2015,11750.811700182816,101,11313471.016453383,NA,Alabama,FALSE,NA
010083,AL,7228.318314009787,2558,2010,NA,112,16651802,NA,Alabama,FALSE,NA
010083,AL,8615.927786112645,2232,2011,NA,112,14984296,24672188,Alabama,FALSE,NA
010083,AL,9044.345337513638,2467,2012,NA,112,16235420,39912564,Alabama,FALSE,NA
010083,AL,9754.716126168674,2442,2013,30795,112,16382625,37103129,Alabama,FALSE,NA
010083,AL,9929.93978868355,2512,2014,1347,112,16270742,47448243,Alabama,FALSE,NA
010083,AL,9580.906989938216,2185,2015,128142,112,16721872,41387116,Alabama,FALSE,NA
010085,AL,3114.2988370727826,3318,2010,NA,178,26581872,NA,Alabama,FALSE,NA
010085,AL,626.709206313949,3390.347417840376,2012,0,178,25824358.776995305,27521293.068075117,Alabama,FALSE,NA
010085,AL,2375.119452164606,2352,2013,40017,178,17930980,17123903,Alabama,FALSE,NA
010085,AL,2337.0947191520886,4311,2014,39054,227,32073009,27807367,Alabama,FALSE,NA
010085,AL,2269.666976228673,4620,2015,50442,296,34322066,33609730,Alabama,FALSE,NA
010086,AL,6502.720329558967,1230,2010,NA,61,6451689,4186026,Alabama,FALSE,NA
010086,AL,5727.04383436915,1332,2011,NA,61,7645284,NA,Alabama,FALSE,NA
010086,AL,3354.911114947074,1204,2012,NA,61,6392433,NA,Alabama,FALSE,NA
010086,AL,2968.138487746458,988,2013,13579,61,4917751,NA,Alabama,FALSE,NA
010086,AL,3954.6709722022647,731.9736842105264,2014,14452.151315789475,61,4083715.7171052634,NA,Alabama,FALSE,NA
010086,AL,8942.578933333201,802,2015,9969,61,4142424,NA,Alabama,FALSE,NA
010087,AL,12753.105371981812,1061,2010,NA,131,22580835,70210074,Alabama,FALSE,NA
010087,AL,11111.050353753439,1037,2011,NA,135,23696570,NA,Alabama,FALSE,NA
010087,AL,12179.691409160781,967,2012,NA,131,21676287,NA,Alabama,FALSE,NA
010087,AL,12475.278736325294,976,2013,NA,133,20672092,56711145,Alabama,FALSE,NA
010087,AL,8514.75405905082,991,2014,NA,136,25241937,NA,Alabama,FALSE,NA
010087,AL,7711.645668240455,1202,2015,NA,138,27515231,NA,Alabama,FALSE,NA
010089,AL,5119.497248101436,1871,2010,0,139,15132738.354661793,26793305.3583181,Alabama,FALSE,NA
010089,AL,5219.606687487788,2409,2011,NA,135,19165611,NA,Alabama,FALSE,NA
010089,AL,5137.550434597985,2165,2013,NA,135,18115405,NA,Alabama,FALSE,NA
010089,AL,5410.68896707731,2171,2014,49548,135,18374151,NA,Alabama,FALSE,NA
010089,AL,5646.716402034812,2181,2015,205713,145,18105491,NA,Alabama,FALSE,NA
010090,AL,6361.136086063889,4925,2010,NA,349,48365069,NA,Alabama,FALSE,NA
010090,AL,6896.272463675807,4854,2011,NA,349,47044637,NA,Alabama,FALSE,NA
010090,AL,6369.30877853078,4669,2012,NA,349,46070587,NA,Alabama,FALSE,NA
010090,AL,6177.041254638356,4838,2013,NA,349,46487542,NA,Alabama,FALSE,NA
010090,AL,6059.227677246383,5013,2015,289120,349,48193037,NA,Alabama,FALSE,NA
010092,AL,5807.4384798496385,10975,2010,NA,450,106011459,100988654,Alabama,FALSE,NA
010092,AL,6027.693954439902,12189,2012,NA,519,123707321,NA,Alabama,FALSE,NA
010092,AL,6020.309859758091,12019,2013,278544,527,124220591,NA,Alabama,FALSE,NA
010092,AL,5327.928647806436,11476,2014,383759,520,120550573,NA,Alabama,FALSE,NA
010092,AL,5466.9566009839255,12306,2015,1210203,547,126995434,108739861,Alabama,FALSE,NA
010099,AL,1450.3988998740122,1148,2010,NA,49,5523140,6166365,Alabama,FALSE,NA
010099,AL,1736.5790637746254,1015,2011,NA,49,4853443,NA,Alabama,FALSE,NA
010099,AL,1820.9101717535239,1043,2012,NA,49,5066730,NA,Alabama,FALSE,NA
010099,AL,1621.3691379526742,810,2013,9604,49,3979203,NA,Alabama,FALSE,NA
010099,AL,1093.4158440095887,700,2014,9604,49,4293584,NA,Alabama,FALSE,NA
010099,AL,1210.5689810248966,732,2015,9604,49,4044416,NA,Alabama,FALSE,NA
010100,AL,5121.7881075701625,3239,2010,NA,130,27393865,14423705,Alabama,FALSE,NA
010100,AL,5525.114094236106,3073,2011,NA,130,26226962,20487084,Alabama,FALSE,NA
010100,AL,5451.977087119508,3049,2012,NA,129,26487750,NA,Alabama,FALSE,NA
010100,AL,3972.1141527668397,2875,2013,NA,129,25453609,23068372,Alabama,FALSE,NA
010100,AL,4353.414288847526,3001,2014,41769,129,26407837,24158570,Alabama,FALSE,NA
010100,AL,4055.7451120065975,3252,2015,83846,129,28067355,23263222,Alabama,FALSE,NA
010101,AL,2168.8876139819913,956.5338208409509,2010,0,82,6762003.188299818,11758237.140767824,Alabama,FALSE,NA
010101,AL,2273.853274058406,1086,2011,NA,81,7549227,NA,Alabama,FALSE,NA
010101,AL,2559.3522056861348,970,2013,112,81,6741969,NA,Alabama,FALSE,NA
010101,AL,2558.633477853904,931,2014,3157,81,6528689,NA,Alabama,FALSE,NA
010101,AL,2394.784310799351,782,2015,8588,81,5576720,NA,Alabama,FALSE,NA
010103,AL,8459.178481699402,4060.292504570384,2010,0,269,49884068.47349178,165329353.4917733,Alabama,FALSE,NA
010103,AL,8470.093860833207,4905,2011,NA,275,56561312,NA,Alabama,FALSE,NA
010103,AL,8306.466390590038,4822,2012,NA,268,55091464,NA,Alabama,FALSE,NA
010103,AL,8409.967013412983,4572,2013,126879,276,57122336,NA,Alabama,FALSE,NA
010103,AL,7630.605019752916,4482,2014,36626,273,61093230,NA,Alabama,FALSE,NA
010103,AL,8451.736686328697,4299,2015,24433,273,61229069,NA,Alabama,FALSE,NA
010104,AL,10394.469233042042,4334,2010,NA,290,48213855,68431845,Alabama,FALSE,NA
010104,AL,11926.624783394518,4651,2011,NA,331,53265214,26132132,Alabama,FALSE,NA
010104,AL,10445.906623007064,4488,2012,NA,340,51303730,64984479,Alabama,FALSE,NA
010104,AL,10311.997781165128,4025,2013,12026,339,46392897,59726893,Alabama,FALSE,NA
010104,AL,11081.505255860398,3528,2014,16905,340,44304152,78307776,Alabama,FALSE,NA
010104,AL,10438.343334713512,3451,2015,114868,340,42599626,56226220,Alabama,FALSE,NA
010108,AL,2298.02148804974,864,2010,NA,50,4646170,NA,Alabama,FALSE,NA
010108,AL,1387.9195265382878,869,2011,NA,50,4795575,NA,Alabama,FALSE,NA
010108,AL,1370.7321171088909,836,2012,NA,56,4500017,NA,Alabama,FALSE,NA
010108,AL,1710.5798668508405,982,2013,40596,56,5988249,NA,Alabama,FALSE,NA
010108,AL,2022.9040939340243,992,2014,61686,56,6424182,NA,Alabama,FALSE,NA
010109,AL,3369.901577162165,713,2010,NA,40,5630453,NA,Alabama,FALSE,NA
010109,AL,4193.930757994031,580,2011,NA,40,5445274,144104,Alabama,FALSE,NA
010109,AL,4050.3299293051386,511,2012,NA,40,4390656,4499004,Alabama,FALSE,NA
010109,AL,5124.148370524054,433,2013,2278,40,3577587,4162733,Alabama,FALSE,NA
010109,AL,6369.875008276832,337,2014,1447,40,2497050,3189285,Alabama,FALSE,NA
010112,AL,2598.366576874091,1439,2010,NA,99,6652067,NA,Alabama,FALSE,NA
010112,AL,2943.5955195583315,1343,2012,NA,89,6304176,8415656,Alabama,FALSE,NA
010112,AL,2153.8508267735333,1163,2013,12693,89,5560804,8422506,Alabama,FALSE,NA
010112,AL,1564.9400760655424,1014,2014,13182,89,6027948,7995456,Alabama,FALSE,NA
010112,AL,1208.6037410263739,1039,2015,8360,89,5868779,NA,Alabama,FALSE,NA
010113,AL,8350.798011307177,9275,2010,NA,605,82474750,58732749,Alabama,FALSE,NA
010113,AL,9939.481737521,9677,2011,NA,605,84472280,NA,Alabama,FALSE,NA
010113,AL,9541.368804252723,9660,2012,NA,605,89021309,60324509,Alabama,FALSE,NA
010113,AL,7388.6403381039945,9353,2013,215222,605,89135892,65345910,Alabama,FALSE,NA
010113,AL,9543.01162072993,8868,2014,312319,615,86540738,69533531,Alabama,FALSE,NA
010113,AL,7863.611394250021,8719,2015,444952,615,86089646,67384797,Alabama,FALSE,NA
010114,AL,10189.118081540906,1752,2013,NA,187,16553398,NA,Alabama,FALSE,NA
010114,AL,12172.69626382448,1743,2014,NA,187,14988353,NA,Alabama,FALSE,NA
010114,AL,7296.109255517702,1664,2015,45195,187,15132937,55745906,Alabama,FALSE,NA
010118,AL,3935.654033094157,2992,2010,NA,149,28476205,20783816,Alabama,FALSE,NA
010118,AL,6062.172060650251,2866,2011,NA,159,27394178,25866412,Alabama,FALSE,NA
010118,AL,2333.1981760114995,2708,2012,NA,159,26501086,23121179,Alabama,FALSE,NA
010118,AL,2661.6343999406413,2386,2013,118774,163,24304578,NA,Alabama,FALSE,NA
010118,AL,2876.93924796198,2231,2014,126449,163,20144010,27564837,Alabama,FALSE,NA
010118,AL,2401.160507318322,2076,2015,120399,163,18483454,29002152,Alabama,FALSE,NA
010120,AL,525.557952506867,734,2011,NA,94,3583237,NA,Alabama,FALSE,NA
010120,AL,544.3846928559578,587,2012,NA,94,2938910,NA,Alabama,FALSE,NA
010125,AL,3411.3041729008564,1103,2010,NA,47,6500841,3750495,Alabama,FALSE,NA
010125,AL,1889.4046971239827,1006,2012,NA,50,5628784,NA,Alabama,FALSE,NA
010125,AL,2255.120568518387,922,2013,NA,50,5156305,NA,Alabama,FALSE,NA
010125,AL,2499.030604840329,660.7105263157895,2014,2033.032894736842,50,3425784.697368421,NA,Alabama,FALSE,NA
010125,AL,10806.190587109704,862,2015,6950,50,4411634,NA,Alabama,FALSE,NA
010126,AL,4322.403874395603,837.8385579937304,2010,0,97,5096341.4169279,11361777.840125391,Alabama,FALSE,NA
010126,AL,2719.7983939102655,782,2011,NA,97,5301302,NA,Alabama,FALSE,NA
010126,AL,3345.159882479899,729,2012,9503,97,4702326,NA,Alabama,FALSE,NA
010126,AL,6192.259951602256,647,2013,35142,97,4159601,11524513,Alabama,FALSE,NA
